Ticker;Preco;LPA;VPA;Div_Yield_%;ROE_%;ROIC_%;EV_EBIT;Crescimento_5a_%;Margem_Liquida_%;Liquidez_Corrente;Origem
WFC;79.42;6.47;53.194;224.0;12.028;3.66;0.0;51.79;22.1903;0.0;YF + Finnhub
VICI;28.42;2.61;26.008;0.0;10.217;6.17;13.152;8.39;69.28;0.6677;YF + Finnhub
O;63.33;1.17;42.227;0.0;2.702;1.57;17.5;0.3;18.41;1.1308;YF + Finnhub
CPRT;33.07;1.59;10.162;0.0;17.129;16.68;14.223;16.72;33.76;10.061;YF + Finnhub
ASX;32.0;0.55;5.0348;119.0;11.636;7.17;2.777;7.36;6.3;1.2842;YF + Finnhub
CEPU;14.48;1.68;12.3665;0.0;13.927;11.88;0.523;0.0;31.27;1.7728;YF + Finnhub
NVO;41.17;3.62;6.8388;468.0;60.696;36.56;1.795;20.66;33.14;0.7996;YF + Finnhub
PLTR;143.09;0.64;3.089;0.0;25.983;25.66;230.351;;36.31;7.1098;YF + Finnhub
JBL;341.65;7.41;12.701;9.0;59.697;17.96;16.124;76.36;2.48;1.0134;YF + Finnhub
QCOM;148.85;4.96;21.483;0.0;21.48;13.56;10.602;2.08;11.96;2.5054;YF + Finnhub
AAPL;271.06;7.9;5.998;0.0;152.021;68.92;26.408;17.91;27.04;0.9737;YF + Finnhub
MSFT;424.62;15.96;52.615;88.0;34.391;26.67;17.808;18.8;39.04;1.386;YF + Finnhub
BAC;52.05;4.02;38.664;0.0;10.644;3.08;0.0;14.32;30.155;0.0;YF + Finnhub
ORCL;173.28;5.57;11.666;113.0;57.572;11.77;23.16;7.13;25.3;1.347;YF + Finnhub
EQT;58.91;5.27;38.061;112.0;13.402;10.61;6.026;;34.39;0.658;YF + Finnhub
MNST;78.23;1.94;8.439;0.0;26.815;25.48;27.525;-5.99;22.97;3.703;YF + Finnhub
CVS;77.94;1.39;59.177;0.0;2.287;1.25;11.613;-23.94;0.44;0.8424;YF + Finnhub
HUYA;3.09;-0.07;3.1481;0.0;-1.806;-2.23;35.895;;-3.15;2.8377;YF + Finnhub
GPC;108.74;0.44;32.14;387.0;1.342;0.64;10.489;;0.24;1.0932;YF + Finnhub
PFE;27.0;1.36;15.209;645.0;8.886;5.11;8.01;-3.51;12.42;1.1599;YF + Finnhub
ROKU;115.22;0.59;17.977;0.0;3.431;3.4;54.478;;1.87;2.7486;YF + Finnhub
DIBS;5.45;-0.38;2.54;0.0;-14.17;-14.44;-7.172;;-15.25;4.1952;YF + Finnhub
LEG;11.34;1.69;7.543;176.0;27.487;9.12;7.144;-1.97;5.81;2.2498;YF + Finnhub
MBUU;26.1;0.74;26.613;0.0;2.909;2.71;7.805;-23.83;1.76;1.5587;YF + Finnhub
FVRR;10.64;0.56;11.414;0.0;5.418;2.82;2.768;;4.87;1.9311;YF + Finnhub
